snapshot,redshift,subhalo_index,subhalo_mass_Msun,n_bh
24,1.4955121664955557,2387,1176375677976.0999,91
24,1.4955121664955557,4447,517228272584.10754,89
24,1.4955121664955557,3378,906872752849.7855,87
24,1.4955121664955557,4836,419454246411.69885,86
24,1.4955121664955557,5825,252384675374.8177,77
24,1.4955121664955557,4214,541397599521.82904,75
24,1.4955121664955557,3740,648690030592.7565,72
24,1.4955121664955557,506,245984113651.26492,62
24,1.4955121664955557,3155,624939075267.7145,61
24,1.4955121664955557,5160,341397151516.02997,60
24,1.4955121664955557,3955,527469475571.0821,58
24,1.4955121664955557,4541,514393475326.4727,55
24,1.4955121664955557,5530,270338203543.98007,52
25,0.9972942257819404,1230,2761862003685.294,463
25,0.9972942257819404,2375,2766114227741.1245,428
25,0.9972942257819404,1795,2856151449541.2417,349
25,0.9972942257819404,3880,1731009899539.9727,332
25,0.9972942257819404,3006,2551877989830.25,327
25,0.9972942257819404,0,3427318054118.091,268
25,0.9972942257819404,3542,1311985884049.3926,194
25,0.9972942257819404,678,2345358133492.0986,186
25,0.9972942257819404,4272,1441068230976.7183,133
25,0.9972942257819404,679,494722685492.0686,128
25,0.9972942257819404,4556,996779212393.9064,127
25,0.9972942257819404,5040,829210846168.1135,113
25,0.9972942257819404,3543,902592584770.269,106
25,0.9972942257819404,5473,737425939773.7421,100
25,0.9972942257819404,1,271964562624.1075,97
25,0.9972942257819404,4812,1041597257317.5121,91
25,0.9972942257819404,5941,644162366351.8474,82
25,0.9972942257819404,5299,737100076400.7635,77
25,0.9972942257819404,680,168141303219.48325,76
25,0.9972942257819404,5615,599787820126.7354,69
25,0.9972942257819404,6450,390242347159.53143,69
25,0.9972942257819404,5757,605240003377.0803,68
25,0.9972942257819404,5177,643000266802.3268,59
25,0.9972942257819404,7645,294635109597.90314,59
25,0.9972942257819404,3881,523046150708.93445,56
26,0.7001063537185233,0,4427795004517.196,542
26,0.7001063537185233,3032,3312295720172.657,454
26,0.7001063537185233,1821,3329455153555.8354,390
26,0.7001063537185233,4607,2635289097691.4414,360
26,0.7001063537185233,4205,2197528163609.6265,346
26,0.7001063537185233,2378,2766744996469.3174,334
26,0.7001063537185233,1188,3591966044513.712,329
26,0.7001063537185233,3721,2737609746096.6343,293
26,0.7001063537185233,5063,1660060586789.8828,147
26,0.7001063537185233,1,555275976349.7648,123
26,0.7001063537185233,5845,941706105148.9982,118
26,0.7001063537185233,5360,1402209699814.1199,106
26,0.7001063537185233,6729,741196016743.482,99
26,0.7001063537185233,6003,812933396032.5111,89
26,0.7001063537185233,6138,687849129026.2471,84
26,0.7001063537185233,1189,179928258609.39142,81
26,0.7001063537185233,6447,739044157903.4208,81
26,0.7001063537185233,4206,405421078847.7226,74
26,0.7001063537185233,7317,430379458252.6382,68
26,0.7001063537185233,6575,698175178181.912,67
26,0.7001063537185233,5681,857303885867.0883,65
26,0.7001063537185233,8322,320259582131.9206,58
26,0.7001063537185233,7463,355595870518.71606,53
27,0.5030475232448832,0,7858832994110.914,639
27,0.5030475232448832,1,2530424191000.683,456
27,0.5030475232448832,3684,3454576547803.246,416
27,0.5030475232448832,2344,3783501819570.595,404
27,0.5030475232448832,4924,2875621222689.134,404
27,0.5030475232448832,5328,2879883813076.332,367
27,0.5030475232448832,2978,3276992953346.5327,343
27,0.5030475232448832,4249,3279515577549.2446,316
27,0.5030475232448832,2,821249109306.7805,139
27,0.5030475232448832,6483,1041353085142.808,123
27,0.5030475232448832,5777,1503247740067.6482,112
27,0.5030475232448832,6979,804320777506.5825,102
27,0.5030475232448832,3,337113236909.14435,88
27,0.5030475232448832,6872,784071388633.3663,84
27,0.5030475232448832,2345,476395293328.59686,83
